hits	firstpost_date	title	url	trackback_date	trackback_total	url_expansions	target_birth_date	content	mytype	score	topsy_author_img	trackback_permalink	trackback_author_url	highlight	topsy_author_url	topsy_trackback_url	trackback_author_name	trackback_author_nick
1	1300861925	'had a great conversation with someone after two years, #catchingup #happy #surprised'	'http://twitter.com/yesvictoria/status/50444685914800128'	1300861925	0	[]	1300861925	'had a great conversation with someone after two years, #catchingup #happy #surprised'	'tweet'	8.0697975	'http://pbs.twimg.com/profile_images/459465990380613632/pe4Vo2S__normal.jpeg'	'http://twitter.com/yesvictoria/status/50444685914800128'	'http://twitter.com/yesvictoria'	'had a great conversation with someone after two years, #catchingup #happy'	'http://topsy.com/twitter/yesvictoria'	'http://topsy.com/trackback?url=http%3A//twitter.com/yesvictoria/status/50444685914800128'	'yesenia victoria'	'yesvictoria'	
1	1390798613	'Today really turned my life for the better. #Happy #Surprised #Blessed #Thankful'	'http://twitter.com/feisty_kitty03/status/427666497876414464'	1390798613	0	[]	1390798613	'Today really turned my life for the better. #Happy #Surprised #Blessed #Thankful'	'tweet'	8.068764	'http://pbs.twimg.com/profile_images/459061936081367040/n0lscWcg_normal.jpeg'	'http://twitter.com/Feisty_kitty03/status/427666497876414464'	'http://twitter.com/feisty_kitty03'	'Today really turned my life for the better. #Happy #Surprised #Blessed'	'http://topsy.com/twitter/feisty_kitty03'	'http://topsy.com/trackback?url=http%3A//twitter.com/feisty_kitty03/status/427666497876414464'	'IG:blutiful_goddess'	'feisty_kitty03'	
1	1356026825	'The #elfontheshelf knew we have been so good this year! #happy #surprised http://t.co/iIdEuSFU'	'http://twitter.com/lashroyalty/status/281823044798930944'	1356026825	1	[{u'url': u'http://t.co/iIdEuSFU', u'expanded_url': u'http://twitter.com/LashRoyalty/status/281823044798930944/photo/1', u'display_url': u'pic.twitter.com/iIdEuSFU'}]	1356026825	'The #elfontheshelf knew we have been so good this year! #happy #surprised http://t.co/iIdEuSFU'	'tweet'	8.062867	'http://pbs.twimg.com/profile_images/1247552809/eyes_normal.jpg'	'http://twitter.com/LashRoyalty/status/281823044798930944'	'http://twitter.com/lashroyalty'	'The #elfontheshelf knew we have been so good this year! #happy #surprised'	'http://topsy.com/twitter/lashroyalty'	'http://topsy.com/trackback?url=http%3A//twitter.com/lashroyalty/status/281823044798930944'	'Lash Royalty'	'lashroyalty'	
1	1365531745	'Very #happy #surprised #beloved #teacher!\n#happybirthday http://t.co/2eyz2eczSF'	'http://twitter.com/lorioct/status/321689572692082689'	1365531745	0	[{u'url': u'http://t.co/2eyz2eczSF', u'display_url': u'instagram.com/p/X5NQ29LFKJ/', u'expanded_url': u'http://instagram.com/p/X5NQ29LFKJ/', u'topsy_expanded_url': u'http://instagram.com/p/X5NQ29LFKJ/'}]	1365531745	'Very #happy #surprised #beloved #teacher!\n#happybirthday http://t.co/2eyz2eczSF'	'tweet'	8.059713	'http://pbs.twimg.com/profile_images/2400976274/image_normal.jpg'	'http://twitter.com/lorioct/status/321689572692082689'	'http://twitter.com/lorioct'	'Very #happy #surprised #beloved #teacher! #happybirthday'	'http://topsy.com/twitter/lorioct'	'http://topsy.com/trackback?url=http%3A//twitter.com/lorioct/status/321689572692082689'	'Lori Rikard'	'lorioct'	
1	1380319051	'#BOOM ! #Happy #Surprised'	'http://twitter.com/sibutch/status/383712029145858048'	1380319051	0	[]	1380319051	'#BOOM ! #Happy #Surprised'	'tweet'	8.050032	'http://pbs.twimg.com/profile_images/1420672428/image_normal.jpg'	'http://twitter.com/Sibutch/status/383712029145858048'	'http://twitter.com/sibutch'	'#BOOM ! #Happy'	'http://topsy.com/twitter/sibutch'	'http://topsy.com/trackback?url=http%3A//twitter.com/sibutch/status/383712029145858048'	'Simon'	'sibutch'	
1	1375836160	'#popeye #spinach #happy #surprised http://t.co/iDWr2phgHT'	'http://twitter.com/felipemarr/status/364909419630305280'	1375836160	0	[{u'url': u'http://t.co/iDWr2phgHT', u'display_url': u'instagram.com/p/csTYNNy338/', u'expanded_url': u'http://instagram.com/p/csTYNNy338/', u'topsy_expanded_url': u'http://instagram.com/p/csTYNNy338/'}]	1375836160	'#popeye #spinach #happy #surprised http://t.co/iDWr2phgHT'	'tweet'	8.039859	'http://pbs.twimg.com/profile_images/425255960068648960/A_XRYObd_normal.jpeg'	'http://twitter.com/felipemarr/status/364909419630305280'	'http://twitter.com/felipemarr'	'#popeye #spinach #happy #surprised'	'http://topsy.com/twitter/felipemarr'	'http://topsy.com/trackback?url=http%3A//twitter.com/felipemarr/status/364909419630305280'	'Coisas do Marra'	'felipemarr'	
1	1362278992	'#free #bud #happy #surprised #me ^.^ http://t.co/fpCz7KkLUk'	'http://twitter.com/biancaamurderzz/status/308046538561691648'	1362278992	0	[{u'url': u'http://t.co/fpCz7KkLUk', u'display_url': u'instagr.am/p/WYRH90xfaW/', u'expanded_url': u'http://instagr.am/p/WYRH90xfaW/', u'topsy_expanded_url': u'http://instagram.com/p/WYRH90xfaW/'}]	1362278992	'#free #bud #happy #surprised #me ^.^ http://t.co/fpCz7KkLUk'	'tweet'	8.039514	'http://pbs.twimg.com/profile_images/460200922669264896/YIU5QdPp_normal.jpeg'	'http://twitter.com/BiancaaMurderzz/status/308046538561691648'	'http://twitter.com/biancaamurderzz'	'#free #bud #happy #surprised #me ^.^'	'http://topsy.com/twitter/biancaamurderzz'	'http://topsy.com/trackback?url=http%3A//twitter.com/biancaamurderzz/status/308046538561691648'	'HIGH_SATIVA~'	'biancaamurderzz'	
1	1390404163	'good news today regarding my hard work over the last year #Happy #Surprised #Workaholic'	'http://twitter.com/bdlee_/status/426012054562955264'	1390404163	1	[]	1390404163	'good news today regarding my hard work over the last year #Happy #Surprised #Workaholic'	'tweet'	8.038882	'http://pbs.twimg.com/profile_images/1084710741/23500_384960527565_677752565_3820264_2785750_n_normal.jpg'	'http://twitter.com/bdlee_/status/426012054562955264'	'http://twitter.com/bdlee_'	'good news today regarding my hard work over the last year #Happy #Surprised'	'http://topsy.com/twitter/bdlee_'	'http://topsy.com/trackback?url=http%3A//twitter.com/bdlee_/status/426012054562955264'	'Brad'	'bdlee_'	
1	1360873457	'JUST FOUND OUT THAT TODAY IS PAY DAY :D #Happy #Surprised'	'http://twitter.com/devanicole/status/302151296960573441'	1360873457	1	[]	1360873457	'JUST FOUND OUT THAT TODAY IS PAY DAY :D #Happy #Surprised'	'tweet'	8.028301	'http://pbs.twimg.com/profile_images/458273217438703617/D6jshjER_normal.jpeg'	'http://twitter.com/DevaNicole/status/302151296960573441'	'http://twitter.com/devanicole'	'JUST FOUND OUT THAT TODAY IS PAY DAY :D #Happy'	'http://topsy.com/twitter/devanicole'	'http://topsy.com/trackback?url=http%3A//twitter.com/devanicole/status/302151296960573441'	'D\xce\xb5\xd1\xb5an N!c0\xe2\x84\x93\xce\xb5'	'devanicole'	
2	1339812451	"Randomly got on the @ESUSports website and saw I'm athlete of the week. #happy #surprised \xf0\x9f\x98\x8a"	'http://twitter.com/sara_dunkin/status/213815033396858881'	1339812451	1	[]	1339812451	"Randomly got on the @ESUSports website and saw I'm athlete of the week. #happy #surprised \xf0\x9f\x98\x8a"	'tweet'	8.025904	'http://pbs.twimg.com/profile_images/454461648548278272/cP0r8yk5_normal.jpeg'	'http://twitter.com/Sara_Dunkin/status/213815033396858881'	'http://twitter.com/sara_dunkin'	"Randomly got on the @ESUSports website and saw I'm athlete of the week. #happy #surprised \xf0\x9f\x98\x8a"	'http://topsy.com/twitter/sara_dunkin'	'http://topsy.com/trackback?url=http%3A//twitter.com/sara_dunkin/status/213815033396858881'	'Sara Dunkin'	'sara_dunkin'	
1	1367329709	'With Beo;) #MyBirthday #happy #surprised #BestFriend http://t.co/6LhdrFH2de'	'http://twitter.com/nandahutamip/status/329230780540784640'	1367329709	0	[{u'url': u'http://t.co/6LhdrFH2de', u'display_url': u'instagram.com/p/YuyoGZHP3w/', u'expanded_url': u'http://instagram.com/p/YuyoGZHP3w/', u'topsy_expanded_url': u'http://instagram.com/p/YuyoGZHP3w/'}]	1367329709	'With Beo;) #MyBirthday #happy #surprised #BestFriend http://t.co/6LhdrFH2de'	'tweet'	8.006709	'http://pbs.twimg.com/profile_images/459914700096929792/WE9rw8aK_normal.jpeg'	'http://twitter.com/nandahutamip/status/329230780540784640'	'http://twitter.com/nandahutamip'	'With Beo;) #MyBirthday #happy #surprised #BestFriend'	'http://topsy.com/twitter/nandahutamip'	'http://topsy.com/trackback?url=http%3A//twitter.com/nandahutamip/status/329230780540784640'	'Nanda'	'nandahutamip'	
1	1361020800	'Just searched "Will I Am Drawing" on #Google  and mine was shown 2nd on front page #CantBelieve #Happy #Surprised :-) http://t.co/TFKsxFsm'	'http://twitter.com/riksaggers/status/302769299452469248'	1361020800	0	[{u'url': u'http://t.co/TFKsxFsm', u'display_url': u'twitpic.com/9gbaxq', u'expanded_url': u'http://twitpic.com/9gbaxq', u'topsy_expanded_url': u'http://twitpic.com/9gbaxq'}]	1361020800	'Just searched "Will I Am Drawing" on #Google  and mine was shown 2nd on front page #CantBelieve #Happy #Surprised :-) http://t.co/TFKsxFsm'	'tweet'	8.001969	'http://pbs.twimg.com/profile_images/440187858536521728/py3NVdVN_normal.jpeg'	'http://twitter.com/RikSaggers/status/302769299452469248'	'http://twitter.com/riksaggers'	'Just searched "Will I Am Drawing" on #Google and mine was shown 2nd on front page #CantBelieve #Happy #Surprised :-)'	'http://topsy.com/twitter/riksaggers'	'http://topsy.com/trackback?url=http%3A//twitter.com/riksaggers/status/302769299452469248'	'Rik Saggers'	'riksaggers'	
1	1375677409	'Jus found a #gucci purse in my grams closet!!...yeah buddy!! #happy #surprised #feelinglucky'	'http://twitter.com/traceysomajor/status/364243572372934657'	1375677409	0	[]	1375677409	'Jus found a #gucci purse in my grams closet!!...yeah buddy!! #happy #surprised #feelinglucky'	'tweet'	7.988501	'http://pbs.twimg.com/profile_images/378800000088686551/d72fb46b81123ee510ff6b60e9b2a03a_normal.jpeg'	'http://twitter.com/TraceySoMajor/status/364243572372934657'	'http://twitter.com/traceysomajor'	'Jus found a #gucci purse in my grams closet!!...yeah buddy!! #happy #surprised'	'http://topsy.com/twitter/traceysomajor'	'http://topsy.com/trackback?url=http%3A//twitter.com/traceysomajor/status/364243572372934657'	'Tracey '	'traceysomajor'	
1	1384226716	'Fun with the Finns #mean #happy #surprised #silly #kiss #confused http://t.co/ldtSTHRQyl'	'http://twitter.com/allimier/status/400101965952462848'	1384226716	0	[{u'url': u'http://t.co/ldtSTHRQyl', u'display_url': u'instagram.com/p/gmXECEPdl_/', u'expanded_url': u'http://instagram.com/p/gmXECEPdl_/', u'topsy_expanded_url': u'http://instagram.com/p/gmXECEPdl_/'}]	1384226716	'Fun with the Finns #mean #happy #surprised #silly #kiss #confused http://t.co/ldtSTHRQyl'	'tweet'	7.9877944	'http://pbs.twimg.com/profile_images/378800000596773413/2d0ce6408bf3479583ecd6718bdfd9f5_normal.jpeg'	'http://twitter.com/AlliMier/status/400101965952462848'	'http://twitter.com/allimier'	'Fun with the Finns #mean #happy #surprised #silly #kiss #confused'	'http://topsy.com/twitter/allimier'	'http://topsy.com/trackback?url=http%3A//twitter.com/allimier/status/400101965952462848'	'Alli Mier'	'allimier'	
1	1357957755	'Going to see Les Mis!!!! #happy #surprised http://t.co/tQIHIGST'	'http://twitter.com/alwaysannabelle/status/289921957821042688'	1357957755	0	[{u'url': u'http://t.co/tQIHIGST', u'display_url': u'instagr.am/p/UXe-dmoV7d/', u'expanded_url': u'http://instagr.am/p/UXe-dmoV7d/', u'topsy_expanded_url': u'http://instagram.com/p/UXe-dmoV7d/'}]	1357957755	'Going to see Les Mis!!!! #happy #surprised http://t.co/tQIHIGST'	'tweet'	7.976914	'http://pbs.twimg.com/profile_images/425002669435289600/cAj6q1Yd_normal.jpeg'	'http://twitter.com/alwaysannabelle/status/289921957821042688'	'http://twitter.com/missdistressed'	'Going to see Les Mis!!!! #happy #surprised'	'http://topsy.com/twitter/missdistressed'	'http://topsy.com/trackback?url=http%3A//twitter.com/alwaysannabelle/status/289921957821042688'	'Anna Farias'	'missdistressed'	
1	1386096829	"J'AI 14.4 DE MOYENNE G\xc3\x89N\xc3\x89RALE EN S\xc3\x89RIE S, APPELEZ MOI J\xc3\x89SUS !!! \n#happy #surprised #excellent"	'http://twitter.com/repasset/status/407945785440215040'	1386096829	1	[]	1386096829	"J'AI 14.4 DE MOYENNE G\xc3\x89N\xc3\x89RALE EN S\xc3\x89RIE S, APPELEZ MOI J\xc3\x89SUS !!! \n#happy #surprised #excellent"	'tweet'	7.9745135	'http://pbs.twimg.com/profile_images/450241452199903232/VUc33HS8_normal.jpeg'	'http://twitter.com/RepAsset/status/407945785440215040'	'http://twitter.com/repasset'	"J'AI 14.4 DE MOYENNE G\xc3\x89N\xc3\x89RALE EN S\xc3\x89RIE S, APPELEZ MOI J\xc3\x89SUS !!! #happy #surprised"	'http://topsy.com/twitter/repasset'	'http://topsy.com/trackback?url=http%3A//twitter.com/repasset/status/407945785440215040'	'Johnny B. Goode'	'repasset'	
1	1363617598	'OMG my weight in pounds finally reached the 140s level #happy #surprised \xf0\x9f\x92\xaa\xf0\x9f\x98\x82'	'http://twitter.com/jolojose/status/313661057895895041'	1363617598	0	[]	1363617598	'OMG my weight in pounds finally reached the 140s level #happy #surprised \xf0\x9f\x92\xaa\xf0\x9f\x98\x82'	'tweet'	7.9726667	'http://pbs.twimg.com/profile_images/455407295053058049/hXqbwvah_normal.jpeg'	'http://twitter.com/jolojose/status/313661057895895041'	'http://twitter.com/jolojose'	'OMG my weight in pounds finally reached the 140s level #happy #surprised \xf0\x9f\x92\xaa\xf0\x9f\x98\x82'	'http://topsy.com/twitter/jolojose'	'http://topsy.com/trackback?url=http%3A//twitter.com/jolojose/status/313661057895895041'	'Jolo Jose'	'jolojose'	
1	1367460963	'RT @terrrranicole2013That amazing moment when you fit your scrawny little sisters skinny jeans.! #happy #surprised'	'http://twitter.com/skinnyjns/status/329781300917596160'	1367460963	0	[]	1367460963	'RT @terrrranicole2013That amazing moment when you fit your scrawny little sisters skinny jeans.! #happy #surprised'	'tweet'	7.9575076	'http://a0.twimg.com/profile_images/500354527/skinny-jeans_normal.jpg'	'http://twitter.com/skinnyjns/status/329781300917596160'	'http://twitter.com/skinnyjns'	'RT @terrrranicole2013That amazing moment when you fit your scrawny little sisters skinny jeans.! #happy'	'http://topsy.com/twitter/skinnyjns'	'http://topsy.com/trackback?url=http%3A//twitter.com/skinnyjns/status/329781300917596160'	'Skinny Jeans'	'skinnyjns'	
2	1335756041	'My dad just called andrewe his future son  in law...is this life? o.O #happy #surprised'	'http://twitter.com/diana_argueta/status/196801219497443330'	1335756041	1	[]	1335756041	'My dad just called andrewe his future son  in law...is this life? o.O #happy #surprised'	'tweet'	7.957447	'http://pbs.twimg.com/profile_images/456806523839082496/jMXXQF0T_normal.jpeg'	'http://twitter.com/Diana_Argueta/status/196801219497443330'	'http://twitter.com/diana_argueta'	'My dad just called andrewe his future son in law...is this life? o.O #happy'	'http://topsy.com/twitter/diana_argueta'	'http://topsy.com/trackback?url=http%3A//twitter.com/diana_argueta/status/196801219497443330'	'Diana'	'diana_argueta'	
1	1302025053	'My mom just told me we may be switching to solar power. #Happy #Surprised  This offsets my religion angst.'	'http://twitter.com/reeljustice/status/55323199172395008'	1302025053	0	[]	1302025053	'My mom just told me we may be switching to solar power. #Happy #Surprised  This offsets my religion angst.'	'tweet'	7.948394	'http://pbs.twimg.com/profile_images/378800000308811805/46842cb4206f0d0be66dc3e6cd9df1aa_normal.jpeg'	'http://twitter.com/ReelJustice/status/55323199172395008'	'http://twitter.com/captmichael87'	'My mom just told me we may be switching to solar power. #Happy #Surprised This offsets my religion angst.'	'http://topsy.com/twitter/captmichael87'	'http://topsy.com/trackback?url=http%3A//twitter.com/reeljustice/status/55323199172395008'	'Rod Iron'	'captmichael87'	
1	1346654944	'My babes planned a surprise birthday Party for me. What a sneaky sneaky man. &lt;3 #thankful #happy #surprised  http://t.co/dJOLcsDt'	'http://twitter.com/leceihdanne/status/242514531635572736'	1346654944	0	[{u'url': u'http://t.co/dJOLcsDt', u'display_url': u'instagr.am/p/PGod7-ud5w/', u'expanded_url': u'http://instagr.am/p/PGod7-ud5w/', u'topsy_expanded_url': u'http://instagr.am/p/PGod7-ud5w/'}]	1346654944	'My babes planned a surprise birthday Party for me. What a sneaky sneaky man. &lt;3 #thankful #happy #surprised  http://t.co/dJOLcsDt'	'tweet'	7.9445357	'http://pbs.twimg.com/profile_images/450073081252306944/0vM5JjcO_normal.jpeg'	'http://twitter.com/LeceihdAnne/status/242514531635572736'	'http://twitter.com/leceihdanne'	'My babes planned a surprise birthday Party for me. What a sneaky sneaky man. &lt;3 #thankful #happy #surprised'	'http://topsy.com/twitter/leceihdanne'	'http://topsy.com/trackback?url=http%3A//twitter.com/leceihdanne/status/242514531635572736'	'Leceihd Latoc Corpuz'	'leceihdanne'	
